countryName,reportingYear,pollutant,emissions
Austria,2019,Nonylphenol and Nonylphenol ethoxylates,62.52
Austria,2019,Pentachlorophenol (PCP),1.91
Austria,2019,Phenols (as total C),7027.8
Austria,2019,Total nitrogen,5650600
Austria,2019,Total organic carbon(as total C or COD/3) (TOC),17006700
Austria,2019,Total phosphorus,351450
Austria,2019,Trichloromethane,84.7
Austria,2019,Zinc and compounds (as Zn),122222
Austria,2020,Arsenic and compounds (as As),307.9
Austria,2020,Cadmium and compounds (as Cd),61.51
Austria,2020,"Chloro-alkanes, C10-C13",17.1
Austria,2020,Chromium and compounds (as Cr),381
Austria,2020,Copper and compounds (as Cu),5387.2
Austria,2020,Cyanides (as total CN),3084
Austria,2020,Di-(2-ethyl hexyl) phthalate (DEHP),18.98
Austria,2020,Dichloromethane (DCM),11.6
Austria,2020,Diuron,5.31
Austria,2020,Fluoranthene,2.64
Austria,2020,Fluorides (as total F),108640
Austria,2020,Halogenated organic compounds (as AOX),4640
Austria,2020,Isoproturon,1.09
Austria,2020,Lead and compounds (as Pb),996
Austria,2020,Mercury and compounds (as Hg),23.46
Austria,2020,Nickel and compounds (as Ni),4749.7
Austria,2020,Nonylphenol and Nonylphenol ethoxylates,53.66
Austria,2020,Pentachlorophenol (PCP),1.91
Austria,2020,Phenols (as total C),3290.1
Austria,2020,Total nitrogen,5479700
Austria,2020,Total organic carbon(as total C or COD/3) (TOC),12174100
Austria,2020,Total phosphorus,334860
Austria,2020,Trichloromethane,78.5
Austria,2020,Zinc and compounds (as Zn),83809
Austria,2021,Arsenic and compounds (as As),27.1
Austria,2021,Cadmium and compounds (as Cd),11
Austria,2021,Chlorides (as total Cl),21100000
Austria,2021,"Chloro-alkanes, C10-C13",17.8
Austria,2021,Chromium and compounds (as Cr),403
Austria,2021,Copper and compounds (as Cu),4011
Austria,2021,Cyanides (as total CN),907
Austria,2021,Di-(2-ethyl hexyl) phthalate (DEHP),19.72
Austria,2021,Diuron,3.82
Austria,2021,Fluoranthene,2.95
Austria,2021,Fluorides (as total F),116340
Austria,2021,Halogenated organic compounds (as AOX),2300
Austria,2021,Isoproturon,1.12
Austria,2021,Lead and compounds (as Pb),743.6
Austria,2021,Mercury and compounds (as Hg),3
Austria,2021,Nickel and compounds (as Ni),4756.9
Austria,2021,Nonylphenol and Nonylphenol ethoxylates,51.04
Austria,2021,Pentachlorophenol (PCP),1.91
Austria,2021,Phenols (as total C),1170
Austria,2021,Total nitrogen,5183000
Austria,2021,Total organic carbon(as total C or COD/3) (TOC),12169500
Austria,2021,Total phosphorus,288820
Austria,2021,Trichloromethane,82.3
Austria,2021,Zinc and compounds (as Zn),88036
Belgium,2007,"1,2-dichloroethane (DCE-1,2)",360
Belgium,2007,Alachlor,7.8
Belgium,2007,Anthracene,2.11
Belgium,2007,Arsenic and compounds (as As),1267.84
Belgium,2007,Atrazine,5.01
Belgium,2007,Benzene,45.7
Belgium,2007,"Benzo(g,h,i)perylene",5.19
Belgium,2007,Brominated diphenylethers (PBDE),2.49
Belgium,2007,Cadmium and compounds (as Cd),343.75
Belgium,2007,Chlorides (as total Cl),556780000
Belgium,2007,Chlorpyrifos,79.7
Belgium,2007,Chromium and compounds (as Cr),11878.5
Belgium,2007,Copper and compounds (as Cu),2728.5
Belgium,2007,Cyanides (as total CN),9341
Belgium,2007,Dichloromethane (DCM),524
Belgium,2007,Ethyl benzene,45.7
Belgium,2007,Fluoranthene,6.37
Belgium,2007,Fluorides (as total F),1242440
Belgium,2007,Halogenated organic compounds (as AOX),48320
Belgium,2007,Lead and compounds (as Pb),3726.6
Belgium,2007,Mercury and compounds (as Hg),73.25
Belgium,2007,Nickel and compounds (as Ni),4773.4
Belgium,2007,Octylphenols and Octylphenol ethoxylates,4.57
Belgium,2007,PCDD + PCDF (dioxins + furans) (as Teq),0.00026
Belgium,2007,Pentachlorophenol (PCP),2.33
Belgium,2007,Phenols (as total C),2153.4
Belgium,2007,Polycyclic aromatic hydrocarbons (PAHs),71.2
Belgium,2007,Tetrachloroethylene,87.8
Belgium,2007,Tetrachloromethane (TCM),56.7
Belgium,2007,Toluene,45.7
Belgium,2007,Total nitrogen,2536400
Belgium,2007,Total organic carbon(as total C or COD/3) (TOC),8382500
Belgium,2007,Total phosphorus,540950
Belgium,2007,Trichlorobenzenes (TCB),137
Belgium,2007,Trichloroethylene (TRI),93.5
Belgium,2007,Trichloromethane,733.5
Belgium,2007,Vinyl chloride,411
Belgium,2007,Xylenes,91.3
Belgium,2007,Zinc and compounds (as Zn),79746
Belgium,2008,"1,2-dichloroethane (DCE-1,2)",86.5
Belgium,2008,Arsenic and compounds (as As),1204.59
Belgium,2008,Brominated diphenylethers (PBDE),38.79
Belgium,2008,Cadmium and compounds (as Cd),203.34
Belgium,2008,Chlorides (as total Cl),532980000
Belgium,2008,Chromium and compounds (as Cr),12108.5
Belgium,2008,Copper and compounds (as Cu),5073.1
Belgium,2008,Cyanides (as total CN),7312.6
Belgium,2008,Dichloromethane (DCM),577.8
